Week,Home,Away,Year,Weekday,Month,Day
1,SEA,GB,2014,Thu,9,4
1,ATL,NO,2014,Sun,9,7
1,BAL,CIN,2014,Sun,9,7
1,CHI,BUF,2014,Sun,9,7
1,HOU,WAS,2014,Sun,9,7
1,KC,TEN,2014,Sun,9,7
1,MIA,NE,2014,Sun,9,7
1,NYJ,OAK,2014,Sun,9,7
1,PHI,JAC,2014,Sun,9,7
1,PIT,CLE,2014,Sun,9,7
1,STL,MIN,2014,Sun,9,7
1,DAL,SF,2014,Sun,9,7
1,TB,CAR,2014,Sun,9,7
1,DEN,IND,2014,Sun,9,7
1,DET,NYG,2014,Mon,9,8
1,ARI,SD,2014,Mon,9,8
2,BAL,PIT,2014,Thu,9,11
2,BUF,MIA,2014,Sun,9,14
2,CAR,DET,2014,Sun,9,14
2,CIN,ATL,2014,Sun,9,14
2,CLE,NO,2014,Sun,9,14
2,MIN,NE,2014,Sun,9,14
2,NYG,ARI,2014,Sun,9,14
2,TEN,DAL,2014,Sun,9,14
2,WAS,JAC,2014,Sun,9,14
2,SD,SEA,2014,Sun,9,14
2,TB,STL,2014,Sun,9,14
2,DEN,KC,2014,Sun,9,14
2,GB,NYJ,2014,Sun,9,14
2,OAK,HOU,2014,Sun,9,14
2,SF,CHI,2014,Sun,9,14
2,IND,PHI,2014,Mon,9,15
3,ATL,TB,2014,Thu,9,18
3,BUF,SD,2014,Sun,9,21
3,CIN,TEN,2014,Sun,9,21
3,CLE,BAL,2014,Sun,9,21
3,DET,GB,2014,Sun,9,21
3,JAC,IND,2014,Sun,9,21
3,NE,OAK,2014,Sun,9,21
3,NO,MIN,2014,Sun,9,21
3,NYG,HOU,2014,Sun,9,21
3,PHI,WAS,2014,Sun,9,21
3,STL,DAL,2014,Sun,9,21
3,ARI,SF,2014,Sun,9,21
3,MIA,KC,2014,Sun,9,21
3,SEA,DEN,2014,Sun,9,21
3,CAR,PIT,2014,Sun,9,21
3,NYJ,CHI,2014,Mon,9,22
4,WAS,NYG,2014,Thu,9,25
4,BAL,CAR,2014,Sun,9,28
4,CHI,GB,2014,Sun,9,28
4,HOU,BUF,2014,Sun,9,28
4,IND,TEN,2014,Sun,9,28
4,MIN,ATL,2014,Sun,9,28
4,NYJ,DET,2014,Sun,9,28
4,OAK,MIA,2014,Sun,9,28
4,PIT,TB,2014,Sun,9,28
4,SD,JAC,2014,Sun,9,28
4,SF,PHI,2014,Sun,9,28
4,DAL,NO,2014,Sun,9,28
4,KC,NE,2014,Mon,9,29
5,GB,MIN,2014,Thu,10,2
5,CAR,CHI,2014,Sun,10,5
5,DAL,HOU,2014,Sun,10,5
5,DET,BUF,2014,Sun,10,5
5,IND,BAL,2014,Sun,10,5
5,JAC,PIT,2014,Sun,10,5
5,NO,TB,2014,Sun,10,5
5,NYG,ATL,2014,Sun,10,5
5,PHI,STL,2014,Sun,10,5
5,TEN,CLE,2014,Sun,10,5
5,DEN,ARI,2014,Sun,10,5
5,SD,NYJ,2014,Sun,10,5
5,SF,KC,2014,Sun,10,5
5,NE,CIN,2014,Sun,10,5
5,WAS,SEA,2014,Mon,10,6
6,HOU,IND,2014,Thu,10,9
6,ATL,CHI,2014,Sun,10,12
6,BUF,NE,2014,Sun,10,12
6,CIN,CAR,2014,Sun,10,12
6,CLE,PIT,2014,Sun,10,12
6,MIA,GB,2014,Sun,10,12
6,MIN,DET,2014,Sun,10,12
6,NYJ,DEN,2014,Sun,10,12
6,TB,BAL,2014,Sun,10,12
6,TEN,JAC,2014,Sun,10,12
6,OAK,SD,2014,Sun,10,12
6,ARI,WAS,2014,Sun,10,12
6,SEA,DAL,2014,Sun,10,12
6,PHI,NYG,2014,Sun,10,12
6,STL,SF,2014,Mon,10,13
7,NE,NYJ,2014,Thu,10,16
7,BAL,ATL,2014,Sun,10,19
7,BUF,MIN,2014,Sun,10,19
7,CHI,MIA,2014,Sun,10,19
7,DET,NO,2014,Sun,10,19
7,GB,CAR,2014,Sun,10,19
7,IND,CIN,2014,Sun,10,19
7,JAC,CLE,2014,Sun,10,19
7,STL,SEA,2014,Sun,10,19
7,WAS,TEN,2014,Sun,10,19
7,SD,KC,2014,Sun,10,19
7,DAL,NYG,2014,Sun,10,19
7,OAK,ARI,2014,Sun,10,19
7,DEN,SF,2014,Sun,10,19
7,PIT,HOU,2014,Mon,10,20
8,DEN,SD,2014,Thu,10,23
8,ATL,DET,2014,Sun,10,26
8,CAR,SEA,2014,Sun,10,26
8,CIN,BAL,2014,Sun,10,26
8,JAC,MIA,2014,Sun,10,26
8,KC,STL,2014,Sun,10,26
8,NE,CHI,2014,Sun,10,26
8,NYJ,BUF,2014,Sun,10,26
8,TB,MIN,2014,Sun,10,26
8,TEN,HOU,2014,Sun,10,26
8,ARI,PHI,2014,Sun,10,26
8,CLE,OAK,2014,Sun,10,26
8,PIT,IND,2014,Sun,10,26
8,NO,GB,2014,Sun,10,26
8,DAL,WAS,2014,Mon,10,27
9,CAR,NO,2014,Thu,10,30
9,CIN,JAC,2014,Sun,11,2
9,CLE,TB,2014,Sun,11,2
9,DAL,ARI,2014,Sun,11,2
9,HOU,PHI,2014,Sun,11,2
9,KC,NYJ,2014,Sun,11,2
9,MIA,SD,2014,Sun,11,2
9,MIN,WAS,2014,Sun,11,2
9,SF,STL,2014,Sun,11,2
9,NE,DEN,2014,Sun,11,2
9,SEA,OAK,2014,Sun,11,2
9,PIT,BAL,2014,Sun,11,2
9,NYG,IND,2014,Mon,11,3
10,CIN,CLE,2014,Thu,11,6
10,BAL,TEN,2014,Sun,11,9
10,BUF,KC,2014,Sun,11,9
10,DET,MIA,2014,Sun,11,9
10,JAC,DAL,2014,Sun,11,9
10,NO,SF,2014,Sun,11,9
10,NYJ,PIT,2014,Sun,11,9
10,TB,ATL,2014,Sun,11,9
10,OAK,DEN,2014,Sun,11,9
10,ARI,STL,2014,Sun,11,9
10,SEA,NYG,2014,Sun,11,9
10,GB,CHI,2014,Sun,11,9
10,PHI,CAR,2014,Mon,11,10
11,MIA,BUF,2014,Thu,11,13
11,CAR,ATL,2014,Sun,11,16
11,CHI,MIN,2014,Sun,11,16
11,CLE,HOU,2014,Sun,11,16
11,GB,PHI,2014,Sun,11,16
11,KC,SEA,2014,Sun,11,16
11,NO,CIN,2014,Sun,11,16
11,NYG,SF,2014,Sun,11,16
11,STL,DEN,2014,Sun,11,16
