week,home,away,year,weekday,month,day
1,NE,PIT,2015,Thu,9,10
1,CHI,GB,2015,Sun,9,13
1,STL,SEA,2015,Sun,9,13
1,JAC,CAR,2015,Sun,9,13
1,WAS,MIA,2015,Sun,9,13
1,BUF,IND,2015,Sun,9,13
1,NYJ,CLE,2015,Sun,9,13
1,HOU,KC,2015,Sun,9,13
1,ARI,NO,2015,Sun,9,13
1,SD,DET,2015,Sun,9,13
1,DEN,BAL,2015,Sun,9,13
1,OAK,CIN,2015,Sun,9,13
1,TB,TEN,2015,Sun,9,13
1,DAL,NYG,2015,Sun,9,13
1,ATL,PHI,2015,Mon,9,14
1,SF,MIN,2015,Mon,9,14
2,KC,DEN,2015,Thu,9,17
2,CAR,HOU,2015,Sun,9,20
2,BUF,NE,2015,Sun,9,20
2,CIN,SD,2015,Sun,9,20
2,CLE,TEN,2015,Sun,9,20
2,NYG,ATL,2015,Sun,9,20
2,WAS,STL,2015,Sun,9,20
2,CHI,ARI,2015,Sun,9,20
2,MIN,DET,2015,Sun,9,20
2,NO,TB,2015,Sun,9,20
2,PIT,SF,2015,Sun,9,20
2,OAK,BAL,2015,Sun,9,20
2,JAC,MIA,2015,Sun,9,20
2,PHI,DAL,2015,Sun,9,20
2,GB,SEA,2015,Sun,9,20
2,IND,NYJ,2015,Mon,9,21
3,NYG,WAS,2015,Thu,9,24
3,DAL,ATL,2015,Sun,9,27
3,CAR,NO,2015,Sun,9,27
3,NYJ,PHI,2015,Sun,9,27
3,HOU,TB,2015,Sun,9,27
3,MIN,SD,2015,Sun,9,27
3,STL,PIT,2015,Sun,9,27
3,NE,JAC,2015,Sun,9,27
3,BAL,CIN,2015,Sun,9,27
3,CLE,OAK,2015,Sun,9,27
3,TEN,IND,2015,Sun,9,27
3,ARI,SF,2015,Sun,9,27
3,SEA,CHI,2015,Sun,9,27
3,MIA,BUF,2015,Sun,9,27
3,DET,DEN,2015,Sun,9,27
3,GB,KC,2015,Mon,9,28
4,PIT,BAL,2015,Thu,10,1
4,MIA,NYJ,2015,Sun,10,4
4,CHI,OAK,2015,Sun,10,4
4,ATL,HOU,2015,Sun,10,4
4,CIN,KC,2015,Sun,10,4
4,IND,JAC,2015,Sun,10,4
4,WAS,PHI,2015,Sun,10,4
4,TB,CAR,2015,Sun,10,4
4,BUF,NYG,2015,Sun,10,4
4,SD,CLE,2015,Sun,10,4
4,SF,GB,2015,Sun,10,4
4,ARI,STL,2015,Sun,10,4
4,DEN,MIN,2015,Sun,10,4
4,NO,DAL,2015,Sun,10,4
4,SEA,DET,2015,Mon,10,5
5,HOU,IND,2015,Thu,10,8
5,PHI,NO,2015,Sun,10,11
5,KC,CHI,2015,Sun,10,11
5,CIN,SEA,2015,Sun,10,11
5,ATL,WAS,2015,Sun,10,11
5,TB,JAC,2015,Sun,10,11
5,BAL,CLE,2015,Sun,10,11
5,TEN,BUF,2015,Sun,10,11
5,GB,STL,2015,Sun,10,11
5,DET,ARI,2015,Sun,10,11
5,DAL,NE,2015,Sun,10,11
5,OAK,DEN,2015,Sun,10,11
5,NYG,SF,2015,Sun,10,11
5,SD,PIT,2015,Mon,10,12
6,NO,ATL,2015,Thu,10,15
6,DET,CHI,2015,Sun,10,18
6,NYJ,WAS,2015,Sun,10,18
6,PIT,ARI,2015,Sun,10,18
6,MIN,KC,2015,Sun,10,18
6,BUF,CIN,2015,Sun,10,18
6,CLE,DEN,2015,Sun,10,18
6,TEN,MIA,2015,Sun,10,18
6,JAC,HOU,2015,Sun,10,18
6,SEA,CAR,2015,Sun,10,18
6,GB,SD,2015,Sun,10,18
6,SF,BAL,2015,Sun,10,18
6,IND,NE,2015,Sun,10,18
6,PHI,NYG,2015,Mon,10,19
7,SF,SEA,2015,Thu,10,22
7,JAC,BUF,2015,Sun,10,25
7,STL,CLE,2015,Sun,10,25
7,MIA,HOU,2015,Sun,10,25
7,NE,NYJ,2015,Sun,10,25
7,KC,PIT,2015,Sun,10,25
7,WAS,TB,2015,Sun,10,25
7,DET,MIN,2015,Sun,10,25
7,IND,NO,2015,Sun,10,25
7,TEN,ATL,2015,Sun,10,25
7,SD,OAK,2015,Sun,10,25
7,NYG,DAL,2015,Sun,10,25
7,CAR,PHI,2015,Sun,10,25
7,ARI,BAL,2015,Mon,10,26
8,NE,MIA,2015,Thu,10,29
8,KC,DET,2015,Sun,11,1
8,BAL,SD,2015,Sun,11,1
8,PIT,CIN,2015,Sun,11,1
8,HOU,TEN,2015,Sun,11,1
8,CHI,MIN,2015,Sun,11,1
8,ATL,TB,2015,Sun,11,1
8,NO,NYG,2015,Sun,11,1
8,STL,SF,2015,Sun,11,1
8,CLE,ARI,2015,Sun,11,1
8,OAK,NYJ,2015,Sun,11,1
8,DAL,SEA,2015,Sun,11,1
8,DEN,GB,2015,Sun,11,1
8,CAR,IND,2015,Mon,11,2
9,CIN,CLE,2015,Thu,11,5
9,MIN,STL,2015,Sun,11,8
9,CAR,GB,2015,Sun,11,8
9,NE,WAS,2015,Sun,11,8
9,NO,TEN,2015,Sun,11,8
9,BUF,MIA,2015,Sun,11,8
9,NYJ,JAC,2015,Sun,11,8
9,PIT,OAK,2015,Sun,11,8
9,TB,NYG,2015,Sun,11,8
9,SF,ATL,2015,Sun,11,8
9,IND,DEN,2015,Sun,11,8
9,DAL,PHI,2015,Sun,11,8
9,SD,CHI,2015,Mon,11,9
10,NYJ,BUF,2015,Thu,11,12
10,WAS,NO,2015,Sun,11,15
10,GB,DET,2015,Sun,11,15
10,TB,DAL,2015,Sun,11,15
10,TEN,CAR,2015,Sun,11,15
10,STL,CHI,2015,Sun,11,15
10,PHI,MIA,2015,Sun,11,15
10,BAL,JAC,2015,Sun,11,15
10,PIT,CLE,2015,Sun,11,15
10,OAK,MIN,2015,Sun,11,15
10,NYG,NE,2015,Sun,11,15
10,DEN,KC,2015,Sun,11,15
10,SEA,ARI,2015,Sun,11,15
10,CIN,HOU,2015,Mon,11,16
11,JAC,TEN,2015,Thu,11,19
11,CHI,DEN,2015,Sun,11,22
11,DET,OAK,2015,Sun,11,22
11,ATL,IND,2015,Sun,11,22
11,HOU,NYJ,2015,Sun,11,22
11,PHI,TB,2015,Sun,11,22
11,MIN,GB,2015,Sun,11,22
11,CAR,WAS,2015,Sun,11,22
11,MIA,DAL,2015,Sun,11,22
11,BAL,STL,2015,Sun,11,22
