Position,ID,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,realAbbrev
WR,J.Jones,Julio Jones,9100,Atl@Ten 01:00PM ET,25.3,Atl,ATL
WR,O.Beckham Jr.,Odell Beckham Jr.,8700,Dal@NYG 04:25PM ET,19.533,NYG,NYG
WR,D.Hopkins,DeAndre Hopkins,8600,Hou@Mia 01:00PM ET,28.1,Hou,HOU
QB,T.Brady,Tom Brady,8500,NYJ@NE 01:00PM ET,27.472,NE,NE
RB,L.Bell,Le'Veon Bell,8400,Pit@KC 01:00PM ET,22.925,Pit,PIT
WR,J.Edelman,Julian Edelman,8200,NYJ@NE 01:00PM ET,22.84,NE,NE
TE,R.Gronkowski,Rob Gronkowski,8100,NYJ@NE 01:00PM ET,20.3,NE,NE
WR,D.Bryant,Dez Bryant,8100,Dal@NYG 04:25PM ET,9.8,Dal,DAL
WR,A.Brown,Antonio Brown,7900,Pit@KC 01:00PM ET,19.617,Pit,PIT
RB,D.Freeman,Devonta Freeman,7900,Atl@Ten 01:00PM ET,30.183,Atl,ATL
WR,B.Marshall,Brandon Marshall,7800,NYJ@NE 01:00PM ET,24.42,NYJ,NYJ
WR,C.Johnson,Calvin Johnson,7700,Min@Det 01:00PM ET,16.8,Det,DET
WR,K.Allen,Keenan Allen,7700,Oak@SD 04:05PM ET,23.183,SD,SD
RB,A.Peterson,Adrian Peterson,7600,Min@Det 01:00PM ET,17.02,Min,MIN
QB,A.Luck,Andrew Luck,7600,NO@Ind 01:00PM ET,20.4,Ind,IND
RB,A.Foster,Arian Foster,7500,Hou@Mia 01:00PM ET,16.167,Hou,HOU
WR,L.Fitzgerald,Larry Fitzgerald,7400,Bal@Ari 08:30PM ET,23.717,Ari,ARI
QB,M.Ryan,Matt Ryan,7200,Atl@Ten 01:00PM ET,17.707,Atl,ATL
QB,D.Brees,Drew Brees,7000,NO@Ind 01:00PM ET,19.988,NO,NO
QB,C.Kaepernick,Colin Kaepernick,5000,Sea@SF 08:25PM ET,17.993,SF,SF
