name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
E.Manning,00-0022803,yes,NYG,QB,,,,,,,,,,,,,,,,,,,,,,,,,32,23,0,2,0,0,279,,,,,,,,,,,,,,,,,,,,,,,,
S.Vereen,00-0027994,yes,NYG,RB,,,,,,,,,,,,,,,,,,,,4,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,6,5,0,0,0,0,23
R.Jennings,00-0027155,yes,NYG,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,3,0,0,0,25,11,9,0,0,0,0,32
A.Williams,00-0031055,yes,NYG,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,1,1,0,0,29
R.Randle,00-0029262,yes,NYG,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,7,1,0,0,116,,,,,,,
O.Beckham Jr.,00-0031235,yes,NYG,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,7,1,0,0,79,,,,,,,
D.Fells,00-0023752,yes,NYG,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,3,0,0,0,27,,,,,,,
L.Donnell,00-0028838,yes,NYG,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,3,0,0,0,32,,,,,,,
D.Harris,00-0028114,yes,NYG,WR,,,,,,0,0,1,0,0,,,,,,,,,,13,13,0,1,0,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,
O.Darkwa,00-0030860,yes,NYG,RB,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Brown,00-0021940,yes,NYG,K,,,,,,,,,,,3,3,48,9,3,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Wing,00-0030142,yes,NYG,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2,45,4,171,,,,,,,,,,,,,,,,,,,
