
,,,,,Tot Yds &amp; TO,Tot Yds &amp; TO,Tot Yds &amp; TO,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stPy,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Sc%,TO%,EXP
1,Arizona Cardinals,5,190,1965,295,6.7,7,4,15,115,97,152,1291,13,3,8.1,64,136,674,7,5.0,36,46.6,8.6,71.07
2,Atlanta Falcons,5,162,2031,350,5.8,5,1,12,123,120,185,1401,6,4,7.2,73,156,630,10,4.0,38,44.6,8.9,56.92
3,New England Patriots,4,149,1695,265,6.4,2,2,13,109,116,160,1325,11,0,7.7,70,94,370,6,3.9,26,58.7,4.3,70.52
4,Cincinnati Bengals,5,148,2107,321,6.6,6,4,12,110,108,160,1486,11,2,9.0,62,155,621,8,4.0,36,41.4,10.3,54.24
5,Green Bay Packers,5,137,1815,312,5.8,4,2,11,100,108,153,1184,13,2,7.4,53,151,631,2,4.2,36,41.8,7.3,42.41
6,New York Giants,5,132,1868,328,5.7,3,1,12,105,131,197,1412,10,2,7.0,66,127,456,2,3.6,27,46.3,5.6,35.66
7,Buffalo Bills,5,124,1641,301,5.5,6,2,8,86,97,138,1001,9,4,6.6,49,149,640,6,4.3,29,33.3,8.3,12.57
8,Baltimore Ravens,5,123,1797,339,5.3,7,2,12,102,122,195,1207,6,5,5.9,53,136,590,5,4.3,37,37.9,12.1,3.70
9,Pittsburgh Steelers,5,120,1788,294,6.1,3,0,6,92,104,147,1186,6,3,7.3,53,132,602,7,4.6,33,35.1,5.3,37.42
10,Cleveland Browns,5,118,1887,324,5.8,8,6,9,94,122,188,1445,9,2,7.0,65,118,442,2,3.7,20,40.0,10.9,32.44
11,Kansas City Chiefs,5,117,1718,321,5.4,7,4,12,102,109,173,1169,5,3,6.0,56,126,549,5,4.4,34,33.9,9.7,4.29
